,Model Year,Mfr Name,Division,Carline,Verify Mfr Cd,Index (Model Type Index),Eng Displ,# Cyl,Transmission,Air Aspiration Method Desc,Trans,Trans Desc,# Gears,Lockup Torque Converter,Trans Creeper Gear,Drive Sys,Drive Desc,Max Ethanol % - Gasoline,Fuel Usage  - Conventional Fuel,Fuel Usage Desc - Conventional Fuel,Fuel Unit - Conventional Fuel,Fuel Unit Desc - Conventional Fuel,Annual Fuel1 Cost - Conventional Fuel,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Carline Class,Carline Class Desc,Calc Approach Desc,Unique Label?,Label Recalc?,Suppressed?,Police/Emerg?,Cyl Deact?,Var Valve Timing?,Var Valve Timing Desc,Var Valve Lift?,Fuel Metering Sys Cd,Fuel Metering Sys Desc,Camless Valvetrain (Y or N),Oil Viscosity,Stop/Start System (Engine Management System) Code,Stop/Start System (Engine Management System)  Description,GHG Rating (1-10 rating on Label),$ You Spend over 5 years (increased amount spent in fuel costs over 5 years - on label) 
0,2015,FCA Italy,Alfa Romeo,4C,FTG,264,1.8,4,Auto(AM6),Turbocharged,AM,Automated Manual,6,Y,N,R,"2-Wheel Drive, Rear",10.0,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,2050,2,2,1,Two Seaters,Vehicle Specific 5-cycle label,N,N,N,N,N,Y,Cam Phasers,N,GDI,Spark Ignition Direct Injection,N,5W-30,N,No,7,
1,2015,aston martin,Aston Martin Lagonda Ltd,V12 Vantage S,ASX,8,6.0,12,Auto(AM7),Naturally Aspirated,AM,Automated Manual,7,N,N,R,"2-Wheel Drive, Rear",10.0,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,4050,2,2,1,Two Seaters,Derived 5-cycle label,N,N,N,N,N,Y,Inlet and Exhaust Cam Phasing,N,MFI,Multipoint/sequential fuel injection,N,0W40,N,No,2,9250.0
2,2015,aston martin,Aston Martin Lagonda Ltd,V8 Vantage,ASX,4,4.7,8,Auto(AM7),Naturally Aspirated,AM,Automated Manual,7,N,N,R,"2-Wheel Drive, Rear",10.0,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,3550,2,2,1,Two Seaters,Derived 5-cycle label,N,N,N,N,N,Y,"Electronically controlled, hydraulically actuated intake cam phasing",N,MFI,Multipoint/sequential fuel injection,N,10W60,N,No,3,6750.0
3,2015,aston martin,Aston Martin Lagonda Ltd,V8 Vantage,ASX,1,4.7,8,Manual(M6),Naturally Aspirated,M,Manual,6,N,N,R,"2-Wheel Drive, Rear",10.0,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,3800,2,2,1,Two Seaters,Derived 5-cycle label,N,N,N,N,N,Y,"Electronically controlled, hydraulically actuated intake cam phasing",N,MFI,Multipoint/sequential fuel injection,N,10W60,N,No,3,8000.0
4,2015,aston martin,Aston Martin Lagonda Ltd,V8 Vantage S,ASX,5,4.7,8,Auto(AM7),Naturally Aspirated,AM,Automated Manual,7,N,N,R,"2-Wheel Drive, Rear",10.0,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,3550,2,2,1,Two Seaters,Derived 5-cycle label,N,N,N,N,N,Y,"Electronically controlled, hydraulically actuated intake cam phasing",N,MFI,Multipoint/sequential fuel injection,N,10W60,N,No,3,6750.0
5,2015,aston martin,Aston Martin Lagonda Ltd,V8 Vantage S,ASX,2,4.7,8,Manual(M6),Naturally Aspirated,M,Manual,6,N,N,R,"2-Wheel Drive, Rear",10.0,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,3800,2,2,1,Two Seaters,Derived 5-cycle label,N,N,N,N,N,Y,"Electronically controlled, hydraulically actuated intake cam phasing",N,MFI,Multipoint/sequential fuel injection,N,10W60,N,No,3,8000.0
6,2015,aston martin,Aston Martin Lagonda Ltd,Vantage GT,ASX,6,4.7,8,Auto(AM7),Naturally Aspirated,AM,Automated Manual,7,N,N,R,"2-Wheel Drive, Rear",10.0,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,3550,2,2,1,Two Seaters,Derived 5-cycle label,N,N,N,N,N,Y,"Electronically controlled, hydraulically actuated intake cam phasing",N,MFI,Multipoint/sequential fuel injection,N,10W60,N,No,3,6750.0
7,2015,aston martin,Aston Martin Lagonda Ltd,Vantage GT,ASX,3,4.7,8,Manual(M6),Naturally Aspirated,M,Manual,6,N,N,R,"2-Wheel Drive, Rear",10.0,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,3800,2,2,1,Two Seaters,Derived 5-cycle label,N,N,N,N,N,Y,"Electronically controlled, hydraulically actuated intake cam phasing",N,MFI,Multipoint/sequential fuel injection,N,10W60,N,No,3,8000.0
8,2015,Volkswagen Group of,Audi,R8,VGA,27,4.2,8,Auto(AM-S7),Naturally Aspirated,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,Y,N,A,All Wheel Drive,15.0,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,3350,2,2,1,Two Seaters,Vehicle Specific 5-cycle label,N,N,N,N,N,Y,CONTINUOUS INTAKE AND EXHAUST CAM ADJUSTEMENT,N,GDI,Spark Ignition Direct Injection,N,"5W/30, VW50400",N,No,4,5750.0
9,2015,Volkswagen Group of,Audi,R8,VGA,29,4.2,8,Manual(M6),Naturally Aspirated,M,Manual,6,N,N,A,All Wheel Drive,15.0,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,4050,2,2,1,Two Seaters,Vehicle Specific 5-cycle label,N,N,N,N,N,Y,CONTINUOUS INTAKE AND EXHAUST CAM ADJUSTEMENT,N,GDI,Spark Ignition Direct Injection,N,"5W/30, VW50400",N,No,2,9250.0
